name,genre,year
Sex Education             ,"Comedy,Drama","TV Series (2019– )
"
Riverdale             ,"Crime,Drama,Mystery","TV Series (2017– )
"
Lucifer             ,"Crime,Drama,Fantasy","TV Series (2015– )
"
Brooklyn Nine-Nine             ,"Comedy,Crime","TV Series (2013– )
"
Breaking Bad             ,"Crime,Drama,Thriller","TV Series (2008–2013)
"
Outlander             ,"Drama,Fantasy,Romance","TV Series (2014– )
"
Stranger Things             ,"Drama,Fantasy,Horror","TV Series (2016– )
"
Dracula             ,"Drama,Horror","TV Mini-Series (2020– )
"
Schitt's Creek             ,Comedy,"TV Series (2015– )
"
The Expanse             ,"Drama,Mystery,Sci-Fi","TV Series (2015– )
"
BoJack Horseman             ,"Animation,Comedy,Drama","TV Series (2014–2020)
"
Criminal Minds             ,"Crime,Drama,Mystery","TV Series (2005– )
"
Titans             ,"Action,Adventure,Crime","TV Series (2018– )
"
Curb Your Enthusiasm             ,Comedy,"TV Series (2000– )
"
Power             ,"Crime,Drama","TV Series (2014– )
"
Grace and Frankie             ,Comedy,"TV Series (2015– )
"
Anne with an E             ,Drama,"TV Series (2017–2019)
"
White House Farm             ,"Biography,Crime,Mystery","TV Mini-Series (2020– )
"
Ozark             ,"Crime,Drama,Thriller","TV Series (2017– )
"
The Sinner             ,"Crime,Drama,Mystery","TV Series (2017– )
"
It's Always Sunny in Philadelphia             ,Comedy,"TV Series (2005– )
"
Death in Paradise             ,"Comedy,Crime,Drama","TV Series (2011– )
"
Mad Men             ,Drama,"TV Series (2007–2015)
"
Ragnarok             ,"Drama,Fantasy","TV Series (2020– )
"
Batwoman             ,"Action,Adventure,Crime","TV Series (2019– )
"
The 100             ,"Drama,Mystery,Sci-Fi","TV Series (2014– )
"
The Last Kingdom             ,"Action,Drama,History","TV Series (2015– )
"
Mindhunter             ,"Crime,Drama,Thriller","TV Series (2017– )
"
Altered Carbon             ,"Action,Drama,Sci-Fi","TV Series (2018– )
"
Tom Clancy's Jack Ryan             ,"Action,Drama,Thriller","TV Series (2018– )
"
Fargo             ,"Crime,Drama,Thriller","TV Series (2014– )
"
The Handmaid's Tale             ,"Drama,Sci-Fi,Thriller","TV Series (2017– )
"
Watchmen             ,"Action,Drama,Mystery","TV Series (2019)
"
Chernobyl             ,"Drama,History,Thriller","TV Mini-Series (2019)
"
American Horror Story             ,"Drama,Horror,Thriller","TV Series (2011– )
"
Silent Witness             ,"Crime,Drama,Mystery","TV Series (1996– )
"
His Dark Materials             ,"Adventure,Drama,Family","TV Series (2019– )
"
Lost in Space             ,"Adventure,Drama,Family","TV Series (2018– )
"
Chicago P.D.             ,"Action,Crime,Drama","TV Series (2014– )
"
Chicago Fire             ,"Action,Drama","TV Series (2012– )
"
